,avgVarImp,rowSds(matrix)
SoilTypeFusion,11.1212736,2.052554764
slope,13.81624021,2.421761972
aspect,3.060145394,1.500974684
EVI,6.593024305,1.381626449
SAVI,10.19984394,1.017969487
GNDVI,12.7126,1.27029913
ARVI,9.809002786,0.965855655
CHLRE,15.44514526,1.750375191
MCARI,8.344487194,1.546854276
NDII,11.2881223,1.307143761
MIRNIR,12.005012,1.752721787
MNDVI,13.09335085,1.72817066
VHMax_May,11.41001231,2.276655939
VVMax_May,4.705709187,1.615606195
NDVI.y,8.862967763,0.919587146
